trackID trackLength(s) totalDisplacement(um) meanVelocity(um/s) totalDistance(um) meanSpeed(um/s) minSpeed(um/s) maxSpeed(um/s) stdevSpeed(um/s) meanPersistence minPersistence maxPersistence stdevPersistence tumblingPropensityV tumblingPropensityP positionX(px) positionY(px) displacementX(um) displacementY(um)
72 11.3 8.3749 0.7411 57.833 6.2186 0.4493 25.8425 4.6064 0.2824 -0.9912 1 0.6692 1 0.6849 822.6559 178.7527 -5.4278 6.3779
73 5.1 37.9888 7.4488 49.2023 15.8717 2.7699 32.8974 8.8061 0.5619 0.1896 0.8901 0.2191 0 0.8182 570.4393 530.4667 -28.6907 24.8997
74 8.1 15.9815 1.973 33.8821 5.5544 0.6125 23.5763 5.1672 0.91 0.6723 0.9997 0.09038 0.9672 0.07317 236.3211 45.6049 15.7112 2.9268
75 6.9 61.0004 8.8406 125.2453 25.5603 4.9762 43.794 12.1895 0.6411 -0.2088 0.9999 0.4182 0.08163 0.4138 894.4691 161.4972 -60.1743 -10.0054
76 5.5 24.2132 4.4024 35.5172 10.1478 3.3314 21.7896 5.2301 0.798 0.4494 0.9996 0.2141 0.8 0.4 973.4688 266.3591 14.5933 -19.3213
77 10.9 32.3249 2.9656 48.381 5.4361 0.538 14.0094 2.9284 0.7599 -0.2695 1 0.2907 0.8989 0.3913 539.1247 69.7334 -24.4407 -21.1554
78 10.7 25.0422 2.3404 124.2853 14.2857 0.7281 33.3428 9.2258 0.1265 -1 1 0.6017 0.3448 0.8209 513.2799 659.7548 12.6569 -21.6083
79 6.7 11.3709 1.6972 68.0857 14.4863 2.8969 29.0378 6.7637 -0.581 -0.8968 -0.1475 0.2419 0.2553 1 486.3576 568.378 9.9557 -5.4938
80 10.1 26.182 2.5923 85.7737 10.5893 0.4842 30.0465 7.5839 -0.7716 -1 0.241 0.2839 0.1852 1 643.3276 241.2217 25.735 -4.8173
81 5.7 21.2253 3.7237 32.5709 8.8029 3.0254 26.0138 5.5103 0.8364 0.5202 0.9744 0.1474 0.2703 0.1765 508.2091 453.103 11.3555 -17.9323
82 9.7 19.6039 2.021 60.524 7.8603 0.5502 26.4605 6.2924 0.5175 -0.9908 0.9975 0.5614 1 0.5263 770.9569 468.6694 14.8204 12.8323
83 7.5 15.5122 2.0683 46.3144 8.4208 0.499 47.1419 8.9848 0.03291 -0.9998 0.999 0.7315 0.8727 0.7714 827.0636 400.3198 7.8469 13.3811
84 4.9 35.0697 7.1571 39.2549 13.5362 3.4155 30.3084 7.2335 0.8729 0.8046 0.9217 0.03788 0 0 314.9709 303.2208 18.9663 29.4985
85 9.1 13.4239 1.4752 38.6209 5.4396 0.4628 21.2957 4.105 0.07348 -0.9998 1 0.7656 0.9718 0.6667 943.7909 42.8771 -3.3887 12.9891
86 6.5 12.9372 1.9903 27.2553 6.0567 0.5195 14.2029 3.5244 -0.04204 -0.7002 0.9935 0.5482 1 0.88 610.613 83.5326 12.9316 0.3802
87 5.3 29.1821 5.5061 58.9389 17.8603 2.6544 38.8395 12.8872 0.6878 0.4289 0.9756 0.21 0.1818 0.5385 151.6516 290.4015 29.1298 -1.7475
88 6.3 49.7612 7.8986 67.3068 15.6527 3.4753 30.266 7.0619 0.609 -0.4035 1 0.4539 0.04651 0.4348 946.1186 368.2292 -37.7341 -32.4394
89 8.7 1.8459 0.2122 45.8413 6.842 0.5092 17.9961 4.4177 0.09631 -0.9648 1 0.5908 0.9552 0.8298 845.8396 5.9265 1.8446 0.06957
90 5.7 11.3582 1.9927 37.6207 10.1678 0.7328 29.7077 7.8599 0.4729 0.03242 1 0.3097 0.8649 0.7647 926.2737 707.9546 -11.2881 1.2606
91 7.9 44.424 5.6233 89.7204 15.2068 0.6635 33.2581 8.344 0.2907 -0.9889 0.9998 0.6895 0.5085 0.5897 345.1621 488.2469 12.1381 42.7335
92 7.9 26.4351 3.3462 70.5053 11.9501 2.6576 41.0706 9.0517 0.2336 -0.9398 0.9999 0.7286 0.9153 0.5385 42.7446 552.1072 25.0194 8.5351
93 5.1 24.592 4.822 12.7756 4.1212 0.5717 16.9931 4.925 0.6484 -0.03977 0.8837 0.2833 0.8065 0.4545 1018.8094 554.6593 22.1989 -10.5817
94 7.9 31.1017 3.9369 33.1775 5.6233 0.4609 19.2034 3.9782 0.8702 0.6193 1 0.1257 0.6441 0.2051 1010.3377 34.4179 10.9628 -29.1056
95 7.7 31.7085 4.118 79.8961 14.0169 2.682 35.6219 8.4893 -0.4952 -0.999 0.6216 0.4828 0.3684 1 250.6481 98.7189 31.6954 -0.9107
96 4.7 4.5743 0.9733 22.7468 8.4247 2.8272 19.0847 4.3628 -0.8967 -0.9753 -0.8225 0.04702 0.9259 1 917.3642 342.4793 0.6662 4.5256
97 6.1 20.3796 3.3409 81.9217 19.9809 5.9065 30.1509 5.7881 -0.911 -1 -0.7175 0.0964 0 1 99.408 481.6597 8.8561 18.3548
98 7.7 16.4868 2.1411 31.9539 5.606 0.6098 13.2396 3.6015 0.03163 -0.9847 0.9967 0.8042 0.6491 0.6486 107.6574 262.1784 16.3534 2.0931
99 7.3 33.7848 4.628 62.8153 11.8519 0.6905 19.8905 6.2877 0.1609 -0.9951 0.9615 0.6821 0.2642 0.697 126.2209 502.4351 -8.6192 32.6668
100 6.9 24.8527 3.6018 30.6884 6.2629 0.6215 14.9289 3.5921 0.7263 0.32 0.9635 0.1462 0.551 0.6552 39.1547 211.2078 23.1136 -9.1336
101 6.9 19.8991 2.8839 25.3409 5.1716 0.4316 11.5638 3.3917 0.1504 -0.999 0.9674 0.5549 0.9592 0.8621 896.8804 193.4181 -10.0842 17.1547
102 5.7 28.3307 4.9703 61.6475 16.6615 4.4065 40.2415 8.7678 0.8088 0.6639 0.9929 0.09324 0.2703 0.2941 798.5805 334.7536 -16.986 22.6739
103 6.3 18.0527 2.8655 61.5822 14.3214 0.7704 46.4322 11.7107 -0.3796 -0.9988 1 0.5662 0.7674 0.913 59.6922 594.5505 5.1453 17.3039
104 6.3 20.8645 3.3118 31.2774 7.2738 0.6955 18.218 4.2339 0.8432 0.0359 0.9966 0.228 0.5349 0.1304 217.6119 533.0006 19.8849 -6.3181
105 6.3 145.9159 23.1613 114.3967 26.6039 14.0427 41.3579 7.0985 0.9712 0.9112 1 0.02881 0 0 314.8374 292.1017 -36.8559 -141.1846
106 6.3 42.6679 6.7727 61.329 14.2626 0.4737 26.7048 7.1386 0.03743 -0.5416 0.9991 0.5422 0.06977 0.8261 721.7796 236.2396 20.4764 -37.4335
107 6.1 19.5239 3.2006 29.8513 7.2808 0.5023 19.0466 4.6693 0.8111 0.2989 0.9917 0.1836 0.439 0.2857 720.7376 351.9434 -19.2992 -2.9532
108 6.1 84.1406 13.7935 78.0775 19.0433 3.4511 36.2027 10.5604 0.1302 -0.1804 0.8417 0.2343 0.09756 0.9524 200.8086 301.0259 -60.2462 -58.737
109 6.1 17.9622 2.9446 41.1046 10.0255 0.8029 19.2594 5.2083 -0.07234 -0.5419 0.5781 0.3412 0.1463 1 191.1923 674.5531 -5.5824 -17.0727
110 5.1 12.4526 2.4417 26.0519 8.4038 0.8283 27.6107 6.3931 -0.6064 -0.9999 0.4076 0.4866 0.8387 1 220.3514 700.5885 6.1712 10.8159
111 5.9 26.5694 4.5033 36.8271 9.4428 0.5431 29.6336 6.883 0.3657 0.217 0.4976 0.09716 0 1 449.1191 115.7778 21.9577 14.9597
112 4.9 102.6319 20.9453 66.7458 23.0158 13.0098 56.334 10.5926 0.8791 0.7674 1 0.09708 0 0 939.4052 118.179 -100.7667 19.4773
