trackID trackLength(s) totalDisplacement(um) meanVelocity(um/s) totalDistance(um) meanSpeed(um/s) minSpeed(um/s) maxSpeed(um/s) stdevSpeed(um/s) meanPersistence minPersistence maxPersistence stdevPersistence tumblingPropensityV tumblingPropensityP positionX(px) positionY(px) displacementX(um) displacementY(um)
98 7.7 11.9854 1.5565 31.5665 5.538 0 13.4001 3.568 -0.1126 -1 0.9989 0.9649 0.6491 0.5429 111.2208 261.8312 11.7 2.6
99 7.3 37.4301 5.1274 64.8409 12.2341 0 20.5548 6.5152 0.2344 -0.9926 0.98 0.7034 0.2642 0.6061 129.5616 500.5753 -13 35.1
100 6.9 20.9316 3.0336 28.8534 5.8884 0 14.5344 3.5462 0.46 -0.0767 0.7593 0.242 0.6531 0.9655 42.4275 211.2029 18.85 -9.1
101 6.9 21.3216 3.0901 25.2966 5.1626 0 11.718 3.5528 0.4967 -0.2747 0.9989 0.3445 0.898 0.7037 899.1304 193.5652 -13 16.9
102 5.7 30.46 5.3439 61.8651 16.7203 4.5962 40.2003 8.8291 0.8364 0.7094 0.994 0.08363 0.1892 0.2353 800.5263 334.1579 -19.5 23.4
103 6.3 20.1919 3.2051 61.0666 14.2015 0 46.5329 12.0037 -0.6494 -0.9919 1 0.4479 0.7907 0.9565 62.6508 592.373 1.3 20.15
104 6.3 16.7114 2.6526 29.7021 6.9075 0 17.5018 4.0975 0.6756 -0.5744 0.985 0.4674 0.6512 0.2727 220.4048 531.1587 16.25 -3.9
105 6.3 145.4447 23.0865 114.518 26.6321 14.5344 41.1096 6.959 0.971 0.9104 1 0.0291 0 0 317.5079 291.4365 -40.3 -139.75
106 6.3 40.9964 6.5074 60.4934 14.0682 0 26.2023 7.2375 0.02057 -0.5683 0.9939 0.5444 0.09302 0.8261 724.0238 236.0556 17.55 -37.05
107 6.1 22.1859 3.637 30.5131 7.4422 0 19.5 4.7657 0.8401 0.4472 0.995 0.1469 0.3902 0.2381 722.9016 351.1721 -22.1 -1.95
108 6.1 86.0483 14.1063 78.4177 19.1263 3.25 35.8974 10.5692 0.1742 -0.1178 0.9476 0.2447 0.09756 0.9524 203.5082 300.4672 -63.7 -57.85
109 6.1 16.4053 2.6894 39.9359 9.7405 0 18.3848 5.0538 -0.2675 -0.9187 0.4353 0.3256 0.1707 1 193.918 671.959 -9.1 -13.65
110 5.1 14.0316 2.7513 25.8323 8.333 0 26.8002 6.3132 -0.4047 -0.8789 0.1961 0.3526 0.8387 1 222.598 698.3431 3.25 13.65
111 5.9 23.6604 4.0102 35.5754 9.1219 0 29.43 6.9097 0.2899 0.124 0.4585 0.1085 0 1 451.5 116.322 18.85 14.3
112 4.9 104.4156 21.3093 67.6002 23.3104 13.4001 56.7588 10.5871 0.8835 0.7753 1 0.09364 0 0 940.9388 118.6429 -102.7 18.85
113 5.7 7.0007 1.2282 29.3754 7.9393 0 22.981 5.5557 -0.09774 -0.9584 0.8222 0.5779 1 0.9375 394.4211 732.6491 -6.5 2.6
114 5.3 61.8013 11.6606 29.8245 9.0377 0 33.4608 7.9569 0.6966 0.3547 0.9996 0.2024 0.3939 0.6154 572.3774 415.1887 -23.4 57.2
115 5.3 128.6031 24.2647 93.864 28.4436 13 42.3748 8.0505 0.7185 0.4916 0.998 0.2039 0 0.5385 184.9245 614.4623 -127.4 -17.55
116 5.3 12.9512 2.4436 31.1807 9.4487 0 40.7224 8.7899 0.3591 -0.2991 0.8915 0.4506 0.8485 0.7692 479.934 614.1321 12.35 3.9
117 5.3 72.6199 13.7019 57.8717 17.5369 9.75 29.0689 4.6019 0.7235 0.6538 0.8438 0.06125 0 0.6923 437.6132 139.4623 -51.35 51.35
118 5.3 5.85 1.1038 56.5478 17.1357 3.25 39.1352 11.3258 -0.6783 -0.9999 0.9981 0.6418 0.5758 0.9231 244.8679 564.8208 0 -5.85
119 5.3 18.3503 3.4623 31.7569 9.6233 0 18.9506 4.8976 0.5874 0.1703 0.9394 0.2588 0.8788 0.6923 889.3208 733.2358 -16.9 7.15
120 4.9 4.5962 0.938 22.5345 7.7705 3.25 13.7886 3.54 0.2925 -0.943 1 0.8007 1 0.5 876.6837 63.0306 4.55 0.65
121 4.9 6.5 1.3265 20.8741 7.198 0 13.4001 3.8233 0.354 -0.9766 0.9982 0.7567 1 0.6667 942.7347 546.7755 3.9 -5.2
122 4.9 23.9796 4.8938 35.1084 12.1064 4.5962 29.9635 6.43 0.9923 0.9685 1 0.009597 0.3793 0 759.9388 365.8878 -13 20.15
123 4.7 5.5154 1.1735 35.5976 13.1843 3.25 23.6604 5.5075 -0.8394 -0.9561 -0.4961 0.1595 0.2963 1 266.0638 357.8511 3.9 3.9
124 4.7 29.8222 6.3451 24.2099 8.9666 3.25 24.7513 5.1576 0.9422 0.8944 0.998 0.04379 0 0 460.6702 689.766 8.45 28.6
